#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,23.1,14.1,raspberry,,,2025-07-12T02:24:16Z
,,,,Dhulikhel,,,23.3,14.2,raspberry,,,2025-07-12T02:34:17Z
,,,,Dhulikhel,,,17.3,13.8,raspberry,,,2025-07-12T02:36:24Z
,,,,Dhulikhel,,,16.9,13.7,raspberry,,,2025-07-12T02:44:18Z
,,,,Dhulikhel,,,17.1,13.7,raspberry,,,2025-07-12T02:46:25Z
,,,,Dhulikhel,,,16.7,13.5,raspberry,,,2025-07-12T02:54:20Z
,,,,Dhulikhel,,,17.3,13.3,raspberry,,,2025-07-12T02:56:37Z
,,,,Dhulikhel,,,18.8,13.2,raspberry,,,2025-07-14T12:46:25Z
,,,,Dhulikhel,,,19.6,13.4,raspberry,,,2025-07-14T12:53:45Z
,,,,Dhulikhel,,,19.6,13.3,raspberry,,,2025-07-14T12:56:26Z
,,,,Dhulikhel,,,7,4.3,raspberry,,,2025-07-14T13:04:15Z
,,,,Dhulikhel,,,19.3,10.6,raspberry,,,2025-07-16T14:36:48Z
,,,,Dhulikhel,,,19.2,10.6,raspberry,,,2025-07-16T14:45:32Z
,,,,Dhulikhel,,,19.2,10.4,raspberry,,,2025-07-16T14:46:50Z
,,,,Dhulikhel,,,18.5,10.4,raspberry,,,2025-07-16T14:55:33Z
,,,,Dhulikhel,,,10.6,5.5,raspberry,,,2025-07-10T13:01:50Z
,,,,Dhulikhel,,,10.5,5.6,raspberry,,,2025-07-10T13:09:25Z
,,,,Dhulikhel,,,9.6,5.6,raspberry,,,2025-07-10T13:12:06Z
,,,,Dhulikhel,,,9.8,5.5,raspberry,,,2025-07-10T13:19:27Z
,,,,Dhulikhel,,,9.8,5.5,raspberry,,,2025-07-10T13:22:07Z
,,,,Dhulikhel,,,22.6,14.1,raspberry,,,2025-07-10T13:26:16Z
,,,,Dhulikhel,,,22.2,17.5,raspberry,,,2025-07-19T04:59:09Z
,,,,Dhulikhel,,,20.8,16.7,raspberry,,,2025-07-19T05:05:41Z
,,,,Dhulikhel,,,20.7,16.6,raspberry,,,2025-07-19T05:09:20Z
,,,,Dhulikhel,,,21.1,16.7,raspberry,,,2025-07-19T05:15:42Z
,,,,Dhulikhel,,,21,16.7,raspberry,,,2025-07-19T05:19:21Z
,,,,Dhulikhel,,,20.8,16.5,raspberry,,,2025-07-19T05:25:43Z
,,,,Dhulikhel,,,21,16.6,raspberry,,,2025-07-19T05:29:22Z
,,,,Dhulikhel,,,11.3,4.8,raspberry,,,2025-07-22T09:38:35Z
,,,,Dhulikhel,,,11.3,4.8,raspberry,,,2025-07-22T09:42:26Z
,,,,Dhulikhel,,,11.3,4.8,raspberry,,,2025-07-22T09:48:37Z
,,,,Dhulikhel,,,11.5,4.8,raspberry,,,2025-07-22T09:52:29Z
,,,,Dhulikhel,,,11.5,4.8,raspberry,,,2025-07-22T09:58:38Z
,,,,Dhulikhel,,,17.1,13.2,raspberry,,,2025-07-13T03:30:20Z
