#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,19.8,13,raspberry,,,2025-05-22T10:46:07Z
,,,,Dhulikhel,,,20.2,13.1,raspberry,,,2025-05-22T10:53:17Z
,,,,Dhulikhel,,,20.3,13.2,raspberry,,,2025-05-22T10:56:09Z
,,,,Dhulikhel,,,20.8,13.2,raspberry,,,2025-05-22T11:03:18Z
,,,,Dhulikhel,,,20.5,13.2,raspberry,,,2025-05-22T11:06:10Z
,,,,Dhulikhel,,,20,13.2,raspberry,,,2025-05-22T11:13:19Z
,,,,Dhulikhel,,,19.6,13.1,raspberry,,,2025-05-22T11:16:11Z
,,,,Dhulikhel,,,19.7,13.1,raspberry,,,2025-05-22T11:23:20Z
,,,,Dhulikhel,,,19.6,12.9,raspberry,,,2025-05-22T11:26:12Z
,,,,Dhulikhel,,,40.5,26.5,raspberry,,,2025-05-22T11:30:55Z
,,,,Dhulikhel,,,31.6,22.3,raspberry,,,2025-05-19T10:16:49Z
,,,,Dhulikhel,,,31.8,22.2,raspberry,,,2025-05-19T10:21:52Z
,,,,Dhulikhel,,,32,22.3,raspberry,,,2025-05-19T10:26:50Z
,,,,Dhulikhel,,,30.8,22.3,raspberry,,,2025-05-19T10:31:53Z
,,,,Dhulikhel,,,31.1,22.5,raspberry,,,2025-05-19T10:36:51Z
,,,,Dhulikhel,,,52.8,38.8,raspberry,,,2025-05-19T10:38:49Z
,,,,Dhulikhel,,,52.5,38.2,raspberry,,,2025-05-20T16:26:44Z
,,,,Dhulikhel,,,49.9,38.2,raspberry,,,2025-05-20T16:31:10Z
,,,,Dhulikhel,,,27.2,19.6,raspberry,,,2025-05-20T16:33:14Z
,,,,Dhulikhel,,,27.1,19.6,raspberry,,,2025-05-21T15:21:23Z
,,,,Dhulikhel,,,18.2,14.1,raspberry,,,2025-05-21T15:21:27Z
,,,,Dhulikhel,,,18.1,14.1,raspberry,,,2025-05-21T15:21:57Z
,,,,Dhulikhel,,,16.4,13.2,raspberry,,,2025-05-21T15:24:52Z
,,,,Dhulikhel,,,18.8,13.1,raspberry,,,2025-05-21T15:26:47Z
,,,,Dhulikhel,,,34.8,24.2,raspberry,,,2025-05-27T02:47:16Z
,,,,Dhulikhel,,,181.8,124.4,raspberry,,,2025-05-27T02:49:10Z
,,,,Dhulikhel,,,22.7,11.8,raspberry,,,2025-05-27T02:51:12Z
,,,,Dhulikhel,,,89.9,56.1,raspberry,,,2025-05-24T14:31:36Z
,,,,Dhulikhel,,,87.2,56.8,raspberry,,,2025-05-24T14:31:48Z
,,,,Dhulikhel,,,28.3,16.4,raspberry,,,2025-05-24T14:33:26Z
,,,,Dhulikhel,,,31.9,16.2,raspberry,,,2025-06-02T03:39:18Z
,,,,Dhulikhel,,,28.7,16.5,raspberry,,,2025-05-26T03:36:10Z
,,,,Dhulikhel,,,28.7,16.5,raspberry,,,2025-05-26T03:42:28Z
,,,,Dhulikhel,,,23.9,16.8,raspberry,,,2025-05-26T03:45:10Z
,,,,Dhulikhel,,,34.6,24.4,raspberry,,,2025-05-26T03:47:19Z
,,,,Dhulikhel,,,14.3,6.5,raspberry,,,2025-05-30T09:39:08Z
,,,,Dhulikhel,,,12.4,6,raspberry,,,2025-05-30T09:42:26Z
,,,,Dhulikhel,,,59.6,24,raspberry,,,2025-05-30T09:44:20Z
,,,,Dhulikhel,,,21,13.7,raspberry,,,2025-06-07T05:08:44Z
,,,,Dhulikhel,,,48.4,22.9,raspberry,,,2025-06-07T05:10:49Z
,,,,Dhulikhel,,,42.7,28.8,raspberry,,,2025-05-23T03:30:39Z
,,,,Dhulikhel,,,42.9,29,raspberry,,,2025-05-23T03:30:46Z
,,,,Dhulikhel,,,45.6,30.9,raspberry,,,2025-05-23T03:32:01Z
,,,,Dhulikhel,,,46.2,30.9,raspberry,,,2025-05-23T03:43:14Z
,,,,Dhulikhel,,,46,30.8,raspberry,,,2025-05-23T03:53:15Z
,,,,Dhulikhel,,,46.4,30.8,raspberry,,,2025-05-23T04:03:16Z
,,,,Dhulikhel,,,46.3,30.8,raspberry,,,2025-05-23T04:13:17Z
,,,,Dhulikhel,,,100.7,62.4,raspberry,,,2025-05-23T04:18:16Z
,,,,Dhulikhel,,,6.4,3.8,raspberry,,,2025-06-04T15:09:14Z
,,,,Dhulikhel,,,6,3.5,raspberry,,,2025-06-04T15:21:53Z
,,,,Dhulikhel,,,5.9,3.4,raspberry,,,2025-06-04T15:31:55Z
,,,,Dhulikhel,,,11.3,2.9,raspberry,,,2025-06-04T15:32:39Z
,,,,Dhulikhel,,,28,5.5,raspberry,,,2025-06-04T15:33:29Z
,,,,Dhulikhel,,,27.4,5.5,raspberry,,,2025-06-04T15:41:56Z
,,,,Dhulikhel,,,27,5.6,raspberry,,,2025-06-04T15:51:57Z
,,,,Dhulikhel,,,22.3,12.3,raspberry,,,2025-06-04T16:00:07Z
,,,,Dhulikhel,,,27.4,22.5,raspberry,,,2025-06-15T10:17:39Z
,,,,Dhulikhel,,,49.3,22.6,raspberry,,,2025-06-01T03:32:40Z
,,,,Dhulikhel,,,49,22.8,raspberry,,,2025-06-01T03:32:46Z
,,,,Dhulikhel,,,36.2,15.9,raspberry,,,2025-06-01T03:34:46Z
,,,,Dhulikhel,,,22.3,11.8,raspberry,,,2025-05-28T11:20:38Z
,,,,Dhulikhel,,,42.5,14.2,raspberry,,,2025-05-28T11:21:23Z
,,,,Dhulikhel,,,9.1,6.1,raspberry,,,2025-05-28T11:22:03Z
,,,,Dhulikhel,,,39.3,24.3,raspberry,,,2025-06-09T08:44:53Z
,,,,Dhulikhel,,,60.9,46.6,raspberry,,,2025-06-09T08:46:42Z
,,,,Dhulikhel,,,22.6,12.2,raspberry,,,2025-06-05T11:04:39Z
,,,,Dhulikhel,,,23.7,12.2,raspberry,,,2025-06-05T11:14:41Z
,,,,Dhulikhel,,,15,9,raspberry,,,2025-06-05T11:16:52Z
,,,,Dhulikhel,,,15.5,9,raspberry,,,2025-06-05T11:17:02Z
,,,,Dhulikhel,,,20.9,14.7,raspberry,,,2025-06-05T11:18:35Z
,,,,Dhulikhel,,,60.7,30.2,raspberry,,,2025-06-03T12:49:06Z
,,,,Dhulikhel,,,52.2,25.9,raspberry,,,2025-06-03T12:52:54Z
,,,,Dhulikhel,,,51.3,26.1,raspberry,,,2025-06-03T12:53:09Z
,,,,Dhulikhel,,,7,3.5,raspberry,,,2025-06-03T12:54:59Z
,,,,Dhulikhel,,,42.2,22.6,raspberry,,,2025-06-08T12:56:28Z
,,,,Dhulikhel,,,41.3,22.5,raspberry,,,2025-06-08T12:56:35Z
,,,,Dhulikhel,,,38.4,23.4,raspberry,,,2025-06-08T12:58:12Z
,,,,Dhulikhel,,,21,14,raspberry,,,2025-06-17T04:30:07Z
,,,,Dhulikhel,,,21.2,14.1,raspberry,,,2025-06-17T04:40:18Z
,,,,Dhulikhel,,,27.9,19.7,raspberry,,,2025-06-17T04:44:20Z
,,,,Dhulikhel,,,25.4,18.1,raspberry,,,2025-06-17T04:44:32Z
,,,,Dhulikhel,,,26.4,18.2,raspberry,,,2025-06-17T04:50:19Z
,,,,Dhulikhel,,,61.4,46.8,raspberry,,,2025-06-11T05:12:48Z
,,,,Dhulikhel,,,63.3,46.6,raspberry,,,2025-06-11T05:14:37Z
,,,,Dhulikhel,,,30.4,22.6,raspberry,,,2025-06-11T05:16:27Z
