#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,109.3,29.2,raspberry,,,2025-06-28T11:42:17Z
,,,,Dhulikhel,,,109.1,29.2,raspberry,,,2025-06-28T11:46:43Z
,,,,Dhulikhel,,,47.2,15.8,raspberry,,,2025-06-28T11:50:15Z
,,,,Dhulikhel,,,46.1,15.8,raspberry,,,2025-06-28T11:50:23Z
,,,,Dhulikhel,,,6.8,4.2,raspberry,,,2025-06-27T08:46:32Z
,,,,Dhulikhel,,,7.9,4.2,raspberry,,,2025-06-27T08:47:37Z
,,,,Dhulikhel,,,12.4,4.5,raspberry,,,2025-06-27T08:49:24Z
,,,,Dhulikhel,,,18.4,10.6,raspberry,,,2025-06-24T13:45:40Z
,,,,Dhulikhel,,,18.9,9.9,raspberry,,,2025-06-24T13:50:58Z
,,,,Dhulikhel,,,13.9,5.5,raspberry,,,2025-06-24T13:52:44Z
,,,,Dhulikhel,,,8.3,4.8,raspberry,,,2025-06-26T05:04:34Z
,,,,Dhulikhel,,,14,7.7,raspberry,,,2025-07-01T11:33:18Z
,,,,Dhulikhel,,,11.1,4.2,raspberry,,,2025-07-02T11:52:50Z
,,,,Dhulikhel,,,12.2,4.1,raspberry,,,2025-07-02T11:55:14Z
,,,,Dhulikhel,,,12.1,4.6,raspberry,,,2025-07-02T11:55:23Z
,,,,Dhulikhel,,,7.9,3.3,raspberry,,,2025-07-02T11:57:03Z
,,,,Dhulikhel,,,17.3,7.1,raspberry,,,2025-06-29T14:01:30Z
,,,,Dhulikhel,,,13.5,6.1,raspberry,,,2025-06-29T14:05:09Z
,,,,Dhulikhel,,,14.3,8.3,raspberry,,,2025-06-30T05:18:14Z
,,,,Dhulikhel,,,12.9,7.8,raspberry,,,2025-06-30T05:20:03Z
,,,,Dhulikhel,,,11.5,7.5,raspberry,,,2025-06-30T05:20:11Z
,,,,Dhulikhel,,,18.8,9,raspberry,,,2025-06-30T05:22:33Z
,,,,Dhulikhel,,,9.7,5.7,raspberry,,,2025-07-08T11:51:44Z
,,,,Dhulikhel,,,18.8,7.1,raspberry,,,2025-07-08T11:53:47Z
,,,,Dhulikhel,,,18.8,7.1,raspberry,,,2025-07-08T12:01:52Z
,,,,Dhulikhel,,,18.5,7.1,raspberry,,,2025-07-08T12:03:48Z
,,,,Dhulikhel,,,8.8,5,raspberry,,,2025-07-06T15:46:37Z
,,,,Dhulikhel,,,7.2,4.6,raspberry,,,2025-07-06T15:48:16Z
,,,,Dhulikhel,,,8.7,4.8,raspberry,,,2025-07-06T15:48:25Z
,,,,Dhulikhel,,,7.2,5.5,raspberry,,,2025-07-05T05:24:28Z
,,,,Dhulikhel,,,8.5,6.4,raspberry,,,2025-07-05T05:31:42Z
,,,,Dhulikhel,,,10.6,6.7,raspberry,,,2025-07-05T05:31:58Z
,,,,Dhulikhel,,,23.1,5.2,raspberry,,,2025-07-03T11:31:11Z
,,,,Dhulikhel,,,18.8,4.7,raspberry,,,2025-07-03T11:31:32Z
,,,,Dhulikhel,,,16.3,4.5,raspberry,,,2025-07-03T11:31:40Z
,,,,Dhulikhel,,,17.1,13.2,raspberry,,,2025-07-13T03:30:20Z
,,,,Dhulikhel,,,22.1,12.9,raspberry,,,2025-07-13T03:34:31Z
,,,,Dhulikhel,,,26.3,12.9,raspberry,,,2025-07-13T03:36:17Z
,,,,Dhulikhel,,,18.8,13.2,raspberry,,,2025-07-14T12:46:25Z
,,,,Dhulikhel,,,19.6,13.4,raspberry,,,2025-07-14T12:53:45Z
,,,,Dhulikhel,,,19.6,13.3,raspberry,,,2025-07-14T12:56:26Z
,,,,Dhulikhel,,,7,4.3,raspberry,,,2025-07-14T13:04:15Z
,,,,Dhulikhel,,,23.1,14.1,raspberry,,,2025-07-12T02:24:16Z
,,,,Dhulikhel,,,23.3,14.2,raspberry,,,2025-07-12T02:34:17Z
,,,,Dhulikhel,,,17.3,13.8,raspberry,,,2025-07-12T02:36:24Z
,,,,Dhulikhel,,,16.9,13.7,raspberry,,,2025-07-12T02:44:18Z
,,,,Dhulikhel,,,17.1,13.7,raspberry,,,2025-07-12T02:46:25Z
,,,,Dhulikhel,,,16.7,13.5,raspberry,,,2025-07-12T02:54:20Z
,,,,Dhulikhel,,,17.3,13.3,raspberry,,,2025-07-12T02:56:37Z
,,,,Dhulikhel,,,22.2,17.5,raspberry,,,2025-07-19T04:59:09Z
,,,,Dhulikhel,,,20.8,16.7,raspberry,,,2025-07-19T05:05:41Z
,,,,Dhulikhel,,,20.7,16.6,raspberry,,,2025-07-19T05:09:20Z
,,,,Dhulikhel,,,21.1,16.7,raspberry,,,2025-07-19T05:15:42Z
,,,,Dhulikhel,,,21,16.7,raspberry,,,2025-07-19T05:19:21Z
,,,,Dhulikhel,,,20.8,16.5,raspberry,,,2025-07-19T05:25:43Z
,,,,Dhulikhel,,,21,16.6,raspberry,,,2025-07-19T05:29:22Z
,,,,Dhulikhel,,,27.1,18,raspberry,,,2025-07-17T14:56:55Z
,,,,Dhulikhel,,,25.1,17,raspberry,,,2025-07-17T14:58:11Z
,,,,Dhulikhel,,,19.3,10.6,raspberry,,,2025-07-16T14:36:48Z
,,,,Dhulikhel,,,19.2,10.6,raspberry,,,2025-07-16T14:45:32Z
,,,,Dhulikhel,,,19.2,10.4,raspberry,,,2025-07-16T14:46:50Z
,,,,Dhulikhel,,,18.5,10.4,raspberry,,,2025-07-16T14:55:33Z
,,,,Dhulikhel,,,10.6,5.5,raspberry,,,2025-07-10T13:01:50Z
,,,,Dhulikhel,,,10.5,5.6,raspberry,,,2025-07-10T13:09:25Z
,,,,Dhulikhel,,,9.6,5.6,raspberry,,,2025-07-10T13:12:06Z
,,,,Dhulikhel,,,9.8,5.5,raspberry,,,2025-07-10T13:19:27Z
