#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,21,13.7,raspberry,,,2025-06-07T05:08:44Z
,,,,Dhulikhel,,,48.4,22.9,raspberry,,,2025-06-07T05:10:49Z
,,,,Dhulikhel,,,6.4,3.8,raspberry,,,2025-06-04T15:09:14Z
,,,,Dhulikhel,,,6,3.5,raspberry,,,2025-06-04T15:21:53Z
,,,,Dhulikhel,,,5.9,3.4,raspberry,,,2025-06-04T15:31:55Z
,,,,Dhulikhel,,,11.3,2.9,raspberry,,,2025-06-04T15:32:39Z
,,,,Dhulikhel,,,28,5.5,raspberry,,,2025-06-04T15:33:29Z
,,,,Dhulikhel,,,27.4,5.5,raspberry,,,2025-06-04T15:41:56Z
,,,,Dhulikhel,,,27,5.6,raspberry,,,2025-06-04T15:51:57Z
,,,,Dhulikhel,,,22.3,12.3,raspberry,,,2025-06-04T16:00:07Z
,,,,Dhulikhel,,,42.2,22.6,raspberry,,,2025-06-08T12:56:28Z
,,,,Dhulikhel,,,41.3,22.5,raspberry,,,2025-06-08T12:56:35Z
,,,,Dhulikhel,,,38.4,23.4,raspberry,,,2025-06-08T12:58:12Z
,,,,Dhulikhel,,,39.3,24.3,raspberry,,,2025-06-09T08:44:53Z
,,,,Dhulikhel,,,60.9,46.6,raspberry,,,2025-06-09T08:46:42Z
,,,,Dhulikhel,,,27.4,22.5,raspberry,,,2025-06-15T10:17:39Z
,,,,Dhulikhel,,,22.6,12.2,raspberry,,,2025-06-05T11:04:39Z
,,,,Dhulikhel,,,23.7,12.2,raspberry,,,2025-06-05T11:14:41Z
,,,,Dhulikhel,,,15,9,raspberry,,,2025-06-05T11:16:52Z
,,,,Dhulikhel,,,15.5,9,raspberry,,,2025-06-05T11:17:02Z
,,,,Dhulikhel,,,20.9,14.7,raspberry,,,2025-06-05T11:18:35Z
,,,,Dhulikhel,,,3.8,2.3,raspberry,,,2025-06-20T11:28:33Z
,,,,Dhulikhel,,,2.8,2.5,raspberry,,,2025-06-20T11:35:41Z
,,,,Dhulikhel,,,21,14,raspberry,,,2025-06-17T04:30:07Z
,,,,Dhulikhel,,,21.2,14.1,raspberry,,,2025-06-17T04:40:18Z
,,,,Dhulikhel,,,27.9,19.7,raspberry,,,2025-06-17T04:44:20Z
,,,,Dhulikhel,,,25.4,18.1,raspberry,,,2025-06-17T04:44:32Z
,,,,Dhulikhel,,,26.4,18.2,raspberry,,,2025-06-17T04:50:19Z
,,,,Dhulikhel,,,9,4.1,raspberry,,,2025-06-18T10:32:34Z
,,,,Dhulikhel,,,7.6,3.9,raspberry,,,2025-06-18T10:33:48Z
,,,,Dhulikhel,,,82.3,34.2,raspberry,,,2025-06-18T10:35:39Z
,,,,Dhulikhel,,,3,2.6,raspberry,,,2025-06-21T11:26:02Z
,,,,Dhulikhel,,,4.7,2.5,raspberry,,,2025-06-21T11:27:45Z
,,,,Dhulikhel,,,7.9,5.6,raspberry,,,2025-06-21T11:30:15Z
,,,,Dhulikhel,,,7.9,5.3,raspberry,,,2025-06-22T05:40:42Z
,,,,Dhulikhel,,,61.4,46.8,raspberry,,,2025-06-11T05:12:48Z
,,,,Dhulikhel,,,63.3,46.6,raspberry,,,2025-06-11T05:14:37Z
,,,,Dhulikhel,,,30.4,22.6,raspberry,,,2025-06-11T05:16:27Z
,,,,Dhulikhel,,,51.7,21.6,raspberry,,,2025-06-19T12:47:35Z
,,,,Dhulikhel,,,18.4,10.6,raspberry,,,2025-06-24T13:45:40Z
,,,,Dhulikhel,,,18.9,9.9,raspberry,,,2025-06-24T13:50:58Z
,,,,Dhulikhel,,,13.9,5.5,raspberry,,,2025-06-24T13:52:44Z
,,,,Dhulikhel,,,6.8,4.2,raspberry,,,2025-06-27T08:46:32Z
,,,,Dhulikhel,,,7.9,4.2,raspberry,,,2025-06-27T08:47:37Z
,,,,Dhulikhel,,,12.4,4.5,raspberry,,,2025-06-27T08:49:24Z
,,,,Dhulikhel,,,8.3,4.8,raspberry,,,2025-06-26T05:04:34Z
,,,,Dhulikhel,,,12,7.9,raspberry,,,2025-06-23T13:33:54Z
,,,,Dhulikhel,,,13,7.6,raspberry,,,2025-06-23T13:43:51Z
,,,,Dhulikhel,,,13,7.6,raspberry,,,2025-06-23T13:44:03Z
,,,,Dhulikhel,,,17.3,7.1,raspberry,,,2025-06-29T14:01:30Z
,,,,Dhulikhel,,,13.5,6.1,raspberry,,,2025-06-29T14:05:09Z
,,,,Dhulikhel,,,14.3,8.3,raspberry,,,2025-06-30T05:18:14Z
,,,,Dhulikhel,,,12.9,7.8,raspberry,,,2025-06-30T05:20:03Z
,,,,Dhulikhel,,,11.5,7.5,raspberry,,,2025-06-30T05:20:11Z
,,,,Dhulikhel,,,18.8,9,raspberry,,,2025-06-30T05:22:33Z
,,,,Dhulikhel,,,14,7.7,raspberry,,,2025-07-01T11:33:18Z
,,,,Dhulikhel,,,109.3,29.2,raspberry,,,2025-06-28T11:42:17Z
,,,,Dhulikhel,,,109.1,29.2,raspberry,,,2025-06-28T11:46:43Z
,,,,Dhulikhel,,,47.2,15.8,raspberry,,,2025-06-28T11:50:15Z
,,,,Dhulikhel,,,46.1,15.8,raspberry,,,2025-06-28T11:50:23Z
,,,,Dhulikhel,,,23.1,5.2,raspberry,,,2025-07-03T11:31:11Z
,,,,Dhulikhel,,,18.8,4.7,raspberry,,,2025-07-03T11:31:32Z
,,,,Dhulikhel,,,16.3,4.5,raspberry,,,2025-07-03T11:31:40Z
,,,,Dhulikhel,,,11.1,4.2,raspberry,,,2025-07-02T11:52:50Z
,,,,Dhulikhel,,,12.2,4.1,raspberry,,,2025-07-02T11:55:14Z
,,,,Dhulikhel,,,12.1,4.6,raspberry,,,2025-07-02T11:55:23Z
,,,,Dhulikhel,,,7.9,3.3,raspberry,,,2025-07-02T11:57:03Z
