#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,11.8,8.3,raspberry,,,2025-08-08T04:38:48Z
,,,,Dhulikhel,,,12.1,7.7,raspberry,,,2025-08-06T05:49:26Z
,,,,Dhulikhel,,,12.2,7.7,raspberry,,,2025-08-06T05:50:56Z
,,,,Dhulikhel,,,12.5,7.7,raspberry,,,2025-08-06T05:59:27Z
,,,,Dhulikhel,,,12.7,7.7,raspberry,,,2025-08-06T06:00:57Z
,,,,Dhulikhel,,,12.9,7.7,raspberry,,,2025-08-06T06:09:29Z
,,,,Dhulikhel,,,12.8,7.7,raspberry,,,2025-08-06T06:10:58Z
,,,,Dhulikhel,,,146.4,52.2,raspberry,,,2025-08-06T06:13:38Z
,,,,Dhulikhel,,,170.6,97.4,raspberry,,,2025-08-27T13:14:27Z
,,,,Dhulikhel,,,138.8,84.3,raspberry,,,2025-08-27T13:19:40Z
,,,,Dhulikhel,,,12.1,9,raspberry,,,2025-08-27T13:23:38Z
,,,,Dhulikhel,,,14.5,9.3,raspberry,,,2025-08-28T12:42:23Z
,,,,Dhulikhel,,,6.3,2.5,raspberry,,,2025-09-03T14:16:53Z
,,,,Dhulikhel,,,6.2,2.5,raspberry,,,2025-09-03T14:27:02Z
,,,,Dhulikhel,,,6,2.5,raspberry,,,2025-09-03T14:37:03Z
,,,,Dhulikhel,,,6,2.5,raspberry,,,2025-09-03T14:47:04Z
,,,,Dhulikhel,,,7.1,3.7,raspberry,,,2025-09-03T14:56:13Z
,,,,Dhulikhel,,,7.1,3.7,raspberry,,,2025-09-03T14:57:05Z
,,,,Dhulikhel,,,7.4,3.7,raspberry,,,2025-09-03T15:07:07Z
