#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,228.3,182.5,raspberry,,,2025-05-06T14:51:35Z
,,,,Dhulikhel,,,220.9,169.7,raspberry,,,2025-05-06T14:52:49Z
,,,,Dhulikhel,,,223.6,168.9,raspberry,,,2025-05-06T14:52:55Z
,,,,Dhulikhel,,,40,28.8,raspberry,,,2025-05-06T14:54:46Z
,,,,Dhulikhel,,,38.9,28.4,raspberry,,,2025-05-07T04:35:11Z
,,,,Dhulikhel,,,38.6,28.5,raspberry,,,2025-05-07T04:39:22Z
,,,,Dhulikhel,,,39,28.7,raspberry,,,2025-05-07T04:45:12Z
,,,,Dhulikhel,,,37.5,28.7,raspberry,,,2025-05-07T04:46:30Z
,,,,Dhulikhel,,,15.2,13.4,raspberry,,,2025-05-04T03:46:42Z
,,,,Dhulikhel,,,15.3,13.5,raspberry,,,2025-05-04T03:53:31Z
,,,,Dhulikhel,,,15.4,13.5,raspberry,,,2025-05-04T03:56:43Z
,,,,Dhulikhel,,,15.8,13.4,raspberry,,,2025-05-04T04:06:44Z
,,,,Dhulikhel,,,53,33,raspberry,,,2025-05-05T14:47:09Z
,,,,Dhulikhel,,,40.3,30.3,raspberry,,,2025-05-05T14:48:19Z
,,,,Dhulikhel,,,40.3,30.5,raspberry,,,2025-05-05T14:57:11Z
,,,,Dhulikhel,,,40.3,30.7,raspberry,,,2025-05-05T14:58:21Z
,,,,Dhulikhel,,,44.1,29.4,raspberry,,,2025-05-05T14:59:08Z
,,,,Dhulikhel,,,417.6,330.3,raspberry,,,2025-05-05T15:01:09Z
,,,,Dhulikhel,,,56.8,36.1,raspberry,,,2025-05-08T14:57:47Z
,,,,Dhulikhel,,,51.8,33.4,raspberry,,,2025-05-08T15:04:29Z
,,,,Dhulikhel,,,51.5,33.5,raspberry,,,2025-05-08T15:07:51Z
,,,,Dhulikhel,,,52.5,31.9,raspberry,,,2025-05-08T15:12:20Z
,,,,Dhulikhel,,,26.8,11.9,raspberry,,,2025-05-09T10:00:02Z
,,,,Dhulikhel,,,27.1,11.8,raspberry,,,2025-05-09T10:08:11Z
,,,,Dhulikhel,,,27,11.7,raspberry,,,2025-05-09T10:10:15Z
,,,,Dhulikhel,,,28,11.8,raspberry,,,2025-05-09T10:18:12Z
,,,,Dhulikhel,,,26.1,11,raspberry,,,2025-05-09T10:18:51Z
,,,,Dhulikhel,,,35,16.7,raspberry,,,2025-05-09T10:20:42Z
,,,,Dhulikhel,,,241.2,95.1,raspberry,,,2025-05-11T04:20:15Z
,,,,Dhulikhel,,,316.7,192.5,raspberry,,,2025-05-11T04:22:40Z
,,,,Dhulikhel,,,34.6,17.7,raspberry,,,2025-05-10T14:48:22Z
,,,,Dhulikhel,,,34.3,17.7,raspberry,,,2025-05-10T14:55:03Z
,,,,Dhulikhel,,,32.8,17.4,raspberry,,,2025-05-10T14:58:23Z
,,,,Dhulikhel,,,35.4,17.4,raspberry,,,2025-05-10T15:04:17Z
,,,,Dhulikhel,,,458,199.4,raspberry,,,2025-05-10T15:06:05Z
,,,,Dhulikhel,,,51.2,30.9,raspberry,,,2025-05-14T12:24:53Z
,,,,Dhulikhel,,,51.4,31.1,raspberry,,,2025-05-14T12:26:59Z
,,,,Dhulikhel,,,52,31,raspberry,,,2025-05-14T12:34:54Z
,,,,Dhulikhel,,,51.4,30.7,raspberry,,,2025-05-14T12:37:00Z
,,,,Dhulikhel,,,51.2,30.8,raspberry,,,2025-05-14T12:44:55Z
,,,,Dhulikhel,,,52.5,30.7,raspberry,,,2025-05-14T12:47:01Z
,,,,Dhulikhel,,,50.7,30.8,raspberry,,,2025-05-15T15:26:25Z
,,,,Dhulikhel,,,49.6,31,raspberry,,,2025-05-15T15:26:26Z
,,,,Dhulikhel,,,27.4,18.2,raspberry,,,2025-05-15T15:28:31Z
,,,,Dhulikhel,,,190,113.1,raspberry,,,2025-05-12T04:24:14Z
,,,,Dhulikhel,,,144.1,91.5,raspberry,,,2025-05-12T04:26:54Z
,,,,Dhulikhel,,,65,41.9,raspberry,,,2025-05-12T04:28:57Z
,,,,Dhulikhel,,,58,40.7,raspberry,,,2025-05-12T04:38:35Z
,,,,Dhulikhel,,,59.2,41.2,raspberry,,,2025-05-12T04:46:20Z
,,,,Dhulikhel,,,59.9,41.1,raspberry,,,2025-05-12T04:48:36Z
,,,,Dhulikhel,,,60,41.4,raspberry,,,2025-05-12T04:56:21Z
,,,,Dhulikhel,,,60.1,41.6,raspberry,,,2025-05-12T04:58:37Z
,,,,Dhulikhel,,,58.9,41.4,raspberry,,,2025-05-12T05:06:22Z
,,,,Dhulikhel,,,59.6,41.3,raspberry,,,2025-05-12T05:08:38Z
,,,,Dhulikhel,,,31.6,22.3,raspberry,,,2025-05-19T10:16:49Z
,,,,Dhulikhel,,,31.8,22.2,raspberry,,,2025-05-19T10:21:52Z
,,,,Dhulikhel,,,32,22.3,raspberry,,,2025-05-19T10:26:50Z
,,,,Dhulikhel,,,30.8,22.3,raspberry,,,2025-05-19T10:31:53Z
,,,,Dhulikhel,,,31.1,22.5,raspberry,,,2025-05-19T10:36:51Z
,,,,Dhulikhel,,,52.8,38.8,raspberry,,,2025-05-19T10:38:49Z
,,,,Dhulikhel,,,32.1,18.3,raspberry,,,2025-05-17T12:01:27Z
