#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,183.2,126.6,raspberry,,,2025-04-08T12:49:42Z
,,,,Dhulikhel,,,185.8,131.8,raspberry,,,2025-04-08T12:50:59Z
,,,,Dhulikhel,,,178.1,131.7,raspberry,,,2025-04-08T12:51:30Z
,,,,Dhulikhel,,,181.2,128.5,raspberry,,,2025-04-08T12:52:29Z
,,,,Dhulikhel,,,161.7,113.6,raspberry,,,2025-04-08T12:54:22Z
,,,,Dhulikhel,,,148,111.3,raspberry,,,2025-04-09T13:15:13Z
,,,,Dhulikhel,,,148.2,111.6,raspberry,,,2025-04-09T13:15:38Z
,,,,Dhulikhel,,,147.6,111.3,raspberry,,,2025-04-09T13:25:14Z
,,,,Dhulikhel,,,148,111.2,raspberry,,,2025-04-09T13:25:39Z
,,,,Dhulikhel,,,147.7,111.3,raspberry,,,2025-04-09T13:35:15Z
,,,,Dhulikhel,,,146.1,110.9,raspberry,,,2025-04-09T13:35:40Z
,,,,Dhulikhel,,,146.7,111.4,raspberry,,,2025-04-09T13:45:16Z
,,,,Dhulikhel,,,146.5,111.6,raspberry,,,2025-04-09T13:45:41Z
,,,,Dhulikhel,,,145.5,111.4,raspberry,,,2025-04-09T13:55:42Z
,,,,Dhulikhel,,,97.7,73.4,raspberry,,,2025-04-10T13:42:05Z
,,,,Dhulikhel,,,77.9,60.2,raspberry,,,2025-04-10T13:45:59Z
,,,,Dhulikhel,,,70.8,56.5,raspberry,,,2025-04-10T13:46:27Z
,,,,Dhulikhel,,,76.1,58.6,raspberry,,,2025-04-10T13:47:57Z
,,,,Dhulikhel,,,36.2,22.4,raspberry,,,2025-04-15T10:57:41Z
,,,,Dhulikhel,,,36.8,22.4,raspberry,,,2025-04-15T11:07:43Z
,,,,Dhulikhel,,,43,23,raspberry,,,2025-04-15T11:08:02Z
,,,,Dhulikhel,,,43.5,23.1,raspberry,,,2025-04-15T11:17:44Z
,,,,Dhulikhel,,,43.7,23.3,raspberry,,,2025-04-15T11:18:03Z
,,,,Dhulikhel,,,43,23.3,raspberry,,,2025-04-15T11:27:45Z
,,,,Dhulikhel,,,43.4,23.4,raspberry,,,2025-04-15T11:28:04Z
,,,,Dhulikhel,,,42.4,23.3,raspberry,,,2025-04-15T11:37:46Z
,,,,Dhulikhel,,,41.9,23.3,raspberry,,,2025-04-15T11:38:05Z
,,,,Dhulikhel,,,483.9,247.8,raspberry,,,2025-04-15T11:49:19Z
,,,,Dhulikhel,,,62.3,39.9,raspberry,,,2025-04-17T14:27:09Z
,,,,Dhulikhel,,,55.6,37,raspberry,,,2025-04-17T14:27:57Z
,,,,Dhulikhel,,,58.5,38.3,raspberry,,,2025-04-17T14:28:03Z
,,,,Dhulikhel,,,334.5,233,raspberry,,,2025-04-17T14:29:55Z
,,,,Dhulikhel,,,27.9,21.4,raspberry,,,2025-04-30T09:43:57Z
,,,,Dhulikhel,,,30.8,21.9,raspberry,,,2025-04-30T09:46:48Z
,,,,Dhulikhel,,,33.6,21.9,raspberry,,,2025-04-30T09:46:58Z
,,,,Dhulikhel,,,33.6,22.2,raspberry,,,2025-04-30T09:47:04Z
,,,,Dhulikhel,,,94.1,50.3,raspberry,,,2025-04-30T09:47:35Z
,,,,Dhulikhel,,,87.2,45,raspberry,,,2025-04-26T14:28:51Z
,,,,Dhulikhel,,,83.6,46.3,raspberry,,,2025-04-26T14:33:55Z
,,,,Dhulikhel,,,81.3,46.6,raspberry,,,2025-04-26T14:34:02Z
,,,,Dhulikhel,,,80.7,46.6,raspberry,,,2025-04-26T14:34:07Z
,,,,Dhulikhel,,,329,185.2,raspberry,,,2025-04-16T13:21:57Z
,,,,Dhulikhel,,,181.7,124,raspberry,,,2025-04-16T13:32:06Z
,,,,Dhulikhel,,,249.3,163,raspberry,,,2025-04-16T13:32:13Z
,,,,Dhulikhel,,,417.6,330.3,raspberry,,,2025-05-05T15:01:09Z
,,,,Dhulikhel,,,15.2,13.4,raspberry,,,2025-05-04T03:46:42Z
,,,,Dhulikhel,,,15.3,13.5,raspberry,,,2025-05-04T03:53:31Z
,,,,Dhulikhel,,,15.4,13.5,raspberry,,,2025-05-04T03:56:43Z
